Empleado1,Empleado2,similarity
Empleado10,Empleado12306,1.0
Empleado100,Empleado1188,1.0
Empleado1000,Empleado1381,1.0
Empleado10000,Empleado11849,1.0
Empleado10001,Empleado8076,1.0
Empleado10002,Empleado11675,1.0
Empleado10003,Empleado8753,1.0
Empleado10004,Empleado5557,1.0
Empleado10005,Empleado5790,1.0
Empleado10006,Empleado9486,1.0
Empleado10007,Empleado7536,1.0
Empleado10008,Empleado8177,1.0
Empleado10009,Empleado11144,1.0
Empleado1001,Empleado563,1.0
Empleado10010,Empleado8533,1.0
Empleado10011,Empleado11673,1.0
Empleado10012,Empleado11949,1.0
Empleado10013,Empleado6820,1.0
Empleado10014,Empleado11093,1.0
Empleado10015,Empleado6338,1.0
Empleado10016,Empleado10218,1.0
Empleado10017,Empleado3119,1.0
Empleado10018,Empleado10381,1.0
Empleado10019,Empleado5483,1.0
Empleado1002,Empleado11097,1.0
Empleado10020,Empleado8080,1.0
Empleado10021,Empleado10739,1.0
Empleado10022,Empleado7542,1.0
Empleado10023,Empleado10546,1.0
Empleado10024,Empleado7232,1.0
Empleado10025,Empleado10368,1.0
Empleado10026,Empleado4500,1.0
Empleado10027,Empleado1373,1.0
Empleado10028,Empleado11200,1.0
Empleado10029,Empleado5179,1.0
Empleado1003,Empleado14487,1.0
Empleado10030,Empleado6139,1.0
Empleado10031,Empleado61,1.0
Empleado10032,Empleado2890,1.0
Empleado10033,Empleado4282,1.0
Empleado10034,Empleado14947,1.0
Empleado10035,Empleado13455,1.0
Empleado10036,Empleado3439,1.0
Empleado10037,Empleado2555,1.0
Empleado10038,Empleado3654,1.0
Empleado10039,Empleado14051,1.0
Empleado1004,Empleado739,1.0
Empleado10040,Empleado7485,1.0
Empleado10041,Empleado13995,1.0
Empleado10042,Empleado5621,1.0
Empleado10043,Empleado1528,1.0
Empleado10044,Empleado3199,1.0
Empleado10045,Empleado8527,1.0
Empleado10046,Empleado10718,1.0
Empleado10047,Empleado4339,1.0
Empleado10048,Empleado8889,1.0
Empleado10049,Empleado3028,1.0
Empleado1005,Empleado14529,1.0
Empleado10050,Empleado2213,1.0
Empleado10051,Empleado9498,1.0
Empleado10052,Empleado11335,1.0
Empleado10053,Empleado6027,1.0
Empleado10054,Empleado4897,1.0
Empleado10055,Empleado9393,1.0
