Empleado1,Empleado2,similarity
Empleado2148,Empleado4632,0.970873786407767
Empleado10408,Empleado9162,0.9803921568627451
Empleado13224,Empleado12489,0.9803921568627451
Empleado14211,Empleado4105,0.9803921568627451
Empleado14494,Empleado1360,0.9803921568627451
Empleado3397,Empleado12487,0.9803921568627451
Empleado6438,Empleado13021,0.9803921568627451
Empleado8379,Empleado2226,0.9803921568627451
Empleado8494,Empleado11903,0.9803921568627451
Empleado9174,Empleado12774,0.9803921568627451
Empleado9698,Empleado386,0.9803921568627451
Empleado9883,Empleado3918,0.9803921568627451
Empleado10098,Empleado11192,0.9900990099009901
Empleado10133,Empleado234,0.9900990099009901
Empleado10226,Empleado2467,0.9900990099009901
Empleado10258,Empleado13856,0.9900990099009901
Empleado1026,Empleado801,0.9900990099009901
Empleado10328,Empleado1803,0.9900990099009901
Empleado10362,Empleado710,0.9900990099009901
Empleado10441,Empleado8315,0.9900990099009901
Empleado10552,Empleado2182,0.9900990099009901
Empleado10572,Empleado3809,0.9900990099009901
Empleado10598,Empleado5300,0.9900990099009901
Empleado10637,Empleado6087,0.9900990099009901
Empleado10750,Empleado6588,0.9900990099009901
Empleado10910,Empleado12674,0.9900990099009901
Empleado10924,Empleado13888,0.9900990099009901
Empleado11049,Empleado14439,0.9900990099009901
Empleado11098,Empleado3819,0.9900990099009901
Empleado11126,Empleado7068,0.9900990099009901
Empleado11144,Empleado6122,0.9900990099009901
Empleado11193,Empleado11221,0.9900990099009901
Empleado11221,Empleado11193,0.9900990099009901
Empleado11308,Empleado7193,0.9900990099009901
Empleado11372,Empleado2934,0.9900990099009901
Empleado11412,Empleado10684,0.9900990099009901
Empleado11492,Empleado3485,0.9900990099009901
Empleado11540,Empleado13651,0.9900990099009901
Empleado11548,Empleado9498,0.9900990099009901
Empleado11649,Empleado7717,0.9900990099009901
Empleado11650,Empleado4003,0.9900990099009901
Empleado11661,Empleado2204,0.9900990099009901
Empleado11779,Empleado6148,0.9900990099009901
Empleado11845,Empleado8310,0.9900990099009901
Empleado11903,Empleado7426,0.9900990099009901
Empleado11989,Empleado13503,0.9900990099009901
Empleado12095,Empleado12043,0.9900990099009901
Empleado12380,Empleado2554,0.9900990099009901
Empleado126,Empleado20,0.9900990099009901
Empleado12976,Empleado6245,0.9900990099009901
Empleado13015,Empleado10573,0.9900990099009901
Empleado13172,Empleado8658,0.9900990099009901
Empleado13293,Empleado11120,0.9900990099009901
Empleado13339,Empleado7576,0.9900990099009901
Empleado13403,Empleado283,0.9900990099009901
Empleado13404,Empleado11746,0.9900990099009901
Empleado13588,Empleado8450,0.9900990099009901
Empleado13613,Empleado7691,0.9900990099009901
Empleado13739,Empleado1028,0.9900990099009901
Empleado13808,Empleado4225,0.9900990099009901
Empleado13827,Empleado2970,0.9900990099009901
Empleado13891,Empleado4944,0.9900990099009901
Empleado13928,Empleado2723,0.9900990099009901
Empleado13938,Empleado8859,0.9900990099009901
Empleado14038,Empleado4475,0.9900990099009901
Empleado14064,Empleado5681,0.9900990099009901
Empleado1413,Empleado8810,0.9900990099009901
Empleado14564,Empleado10711,0.9900990099009901
Empleado14623,Empleado4069,0.9900990099009901
Empleado14842,Empleado13732,0.9900990099009901
Empleado14844,Empleado7433,0.9900990099009901
Empleado1566,Empleado349,0.9900990099009901
Empleado1639,Empleado1516,0.9900990099009901
Empleado1640,Empleado560,0.9900990099009901
Empleado1723,Empleado4154,0.9900990099009901
Empleado1773,Empleado495,0.9900990099009901
Empleado198,Empleado3853,0.9900990099009901
Empleado1992,Empleado437,0.9900990099009901
Empleado2038,Empleado6029,0.9900990099009901
Empleado2084,Empleado10254,0.9900990099009901
Empleado2085,Empleado6423,0.9900990099009901
Empleado2116,Empleado136,0.9900990099009901
Empleado214,Empleado14801,0.9900990099009901
Empleado2165,Empleado11750,0.9900990099009901
Empleado2180,Empleado6087,0.9900990099009901
Empleado2208,Empleado6202,0.9900990099009901
Empleado2226,Empleado6915,0.9900990099009901
Empleado2255,Empleado792,0.9900990099009901
Empleado2296,Empleado9149,0.9900990099009901
Empleado2316,Empleado14514,0.9900990099009901
Empleado2431,Empleado14460,0.9900990099009901
Empleado2443,Empleado10075,0.9900990099009901
Empleado2450,Empleado9670,0.9900990099009901
Empleado25,Empleado1694,0.9900990099009901
Empleado2514,Empleado3880,0.9900990099009901
Empleado2576,Empleado4069,0.9900990099009901
Empleado2668,Empleado10940,0.9900990099009901
Empleado2742,Empleado6726,0.9900990099009901
Empleado2782,Empleado7767,0.9900990099009901
Empleado2893,Empleado13403,0.9900990099009901
Empleado2918,Empleado4771,0.9900990099009901
Empleado3029,Empleado2013,0.9900990099009901
Empleado3061,Empleado11734,0.9900990099009901
Empleado3107,Empleado6434,0.9900990099009901
Empleado3114,Empleado5609,0.9900990099009901
Empleado3116,Empleado9697,0.9900990099009901
Empleado3204,Empleado87,0.9900990099009901
Empleado3207,Empleado11239,0.9900990099009901
Empleado3248,Empleado5900,0.9900990099009901
Empleado3305,Empleado1723,0.9900990099009901
Empleado3416,Empleado7305,0.9900990099009901
Empleado3434,Empleado10107,0.9900990099009901
Empleado3548,Empleado8515,0.9900990099009901
Empleado3576,Empleado13403,0.9900990099009901
Empleado3712,Empleado3135,0.9900990099009901
Empleado3797,Empleado10909,0.9900990099009901
Empleado3819,Empleado11098,0.9900990099009901
Empleado4043,Empleado13686,0.9900990099009901
Empleado4069,Empleado14623,0.9900990099009901
Empleado4154,Empleado1723,0.9900990099009901
Empleado4218,Empleado14114,0.9900990099009901
Empleado4271,Empleado6658,0.9900990099009901
Empleado4343,Empleado1361,0.9900990099009901
Empleado4401,Empleado7130,0.9900990099009901
Empleado4486,Empleado4883,0.9900990099009901
Empleado4498,Empleado7903,0.9900990099009901
Empleado4558,Empleado10466,0.9900990099009901
